Datum,Umsatz
2013-10-24,41.8130384176761
2013-10-25,16.4108759321994
2013-10-26,18.5744577876439
2013-10-27,24.6400839236906
2013-10-29,43.5153660789191
2013-10-30,38.8942676789686
2013-10-31,16.8022951787266
2013-11-01,48.6054000047875
2013-11-02,70.1309361215906
2013-11-03,34.2580409055977
2013-11-04,17.8744198764574
2013-11-05,41.7139880995306
2013-11-06,50.5185888728345
2013-11-07,50.2266196683466
2013-11-08,53.5192500112591
2013-11-09,51.1297514715512
2013-11-10,39.7377803974395
2013-11-11,62.3605448128483
2013-11-12,41.3570335382478
2013-11-13,65.0616903306825
2013-11-14,44.8353611437005
2013-11-15,61.0014708202482
2013-11-16,72.2449528103848
2013-11-17,37.9512648752007
2013-11-18,64.8333393440256
2013-11-19,61.9559723571108
2013-11-20,70.0645170068576
2013-11-21,95.3284808994841
2013-11-22,111.068512845509
2013-11-23,60.8486978870594
2013-11-24,90.7061638144903
2013-11-25,91.4526701439361
2013-11-26,87.9569789296446
2013-11-27,60.3973679194948
2013-11-28,90.6225992800748
2013-11-29,76.747514503209
2013-11-30,143.915450636457
2013-12-01,44.0077752087685
2013-12-02,82.4652842288532
2013-12-03,65.9731311817255
2013-12-04,49.6036003125754
2013-12-05,128.169290294417
2013-12-06,70.4079048569509
2013-12-07,80.1179141217449
2013-12-08,41.6271818292862
2013-12-09,85.9735669347355
2013-12-10,67.8622027353327
2013-12-11,36.8244763668639
2013-12-12,104.880352148774
2013-12-13,90.0832446655234
2013-12-14,99.8155116392742
2013-12-15,114.662454089235
2013-12-16,47.6501511414247
2013-12-17,60.5001349401418
2013-12-18,69.5040386540523
2013-12-19,89.4706690868603
2013-12-20,66.4826350991988
2013-12-21,98.5535495363417
2013-12-22,74.7138069947243
2013-12-23,109.827662725605
2013-12-24,61.36878208577
2013-12-27,34.5569447026584
2013-12-29,30.1718294542218
2013-12-30,40.86384615436
2014-01-02,35.620197470415
2014-10-24,23.0977466534648
2014-10-26,47.8283214526103
2014-10-27,38.0965377883095
2014-10-28,39.358650683243
2014-10-30,35.9657088065008
2014-11-01,44.1953036347997
2014-11-02,54.444257086228
2014-11-03,38.5545767035567
2014-11-04,23.9427538550048
2014-11-05,51.4135955980293
2014-11-06,44.904409068341
2014-11-07,58.3979457835337
2014-11-08,25.30769024498
2014-11-09,60.7173201489965
2014-11-10,26.7954419057105
2014-11-11,66.2692316252081
2014-11-12,60.3046304170933
2014-11-13,63.2351828959052
2014-11-14,59.0315464290955
2014-11-15,41.7599504315043
2014-11-16,74.0088295785316
2014-11-18,19.7783554460711
2014-11-19,29.2620026644154
2014-11-20,56.2274579096792
2014-11-21,88.9610411986744
2014-11-22,35.0737287217727
2014-11-23,52.3718362768318
2014-11-24,40.7631123393519
2014-11-25,62.0455462711679
2014-11-26,66.3334945304324
2014-11-27,63.8333927968917
2014-11-28,87.7747366712683
2014-11-29,96.2641065476009
2014-11-30,73.7361861778039
2014-12-01,69.3729485294007
2014-12-02,83.8656432583178
2014-12-03,77.7390714956598
2014-12-04,67.7872034072278
2014-12-05,86.1390388088521
2014-12-06,172.865984852132
2014-12-07,81.806920744225
2014-12-08,67.1101512202498
2014-12-09,72.9658764560199
2014-12-10,117.568348791125
2014-12-11,59.1710326829849
2014-12-12,50.5219587418013
2014-12-13,84.1653777121234
2014-12-14,119.152733340066
2014-12-15,82.8957232240362
2014-12-16,78.9261429216086
2014-12-17,82.1046513283604
2014-12-18,83.5148847689683
2014-12-19,89.4640327456231
2014-12-20,40.4652488409206
2014-12-21,38.6855509856721
2014-12-22,148.202392082476
2014-12-23,113.864501586991
2014-12-24,60.9934806252716
2014-12-27,26.1583061455218
2014-12-28,79.6840824625434
2014-12-30,42.2248053911652
2015-01-02,31.6443089201977
2015-01-03,27.3325687878665
2015-01-04,31.5981129331306
2015-01-05,18.4839927152663
2015-01-06,40.2233116111995
2015-11-02,54.4785750597986
2015-11-03,36.928264442632
2015-11-05,36.0121444084611
2015-11-06,23.4680706670577
2015-11-08,51.4981525226917
2015-11-09,34.1899092105017
2015-11-10,31.8139136180964
2015-11-11,56.2709288058107
2015-11-12,28.2840944936649
2015-11-14,43.9794606680509
2015-11-15,20.2942205283244
2015-11-17,35.3629977360452
2015-11-18,28.0219905828864
2015-11-19,12.9373828412174
2015-11-21,56.1396352068277
2015-11-22,36.3496904897764
2015-11-23,141.262806843452
2015-11-24,111.891145740226
2015-11-25,90.341249911663
2015-11-26,154.386660190586
2015-11-27,95.8214284234793
2015-11-28,121.67603502311
2015-11-29,92.5432169532177
2015-11-30,90.1018653521876
2015-12-01,108.812101874236
2015-12-02,149.82304535174
2015-12-03,127.702301302267
2015-12-04,63.2383253536173
2015-12-05,128.656492929076
2015-12-06,73.9534157272459
2015-12-07,28.6728841919131
2015-12-08,115.934234734646
2015-12-09,93.8656913459388
2015-12-10,111.666686128158
2015-12-11,110.982691994078
2015-12-12,161.414301579481
